Objects
100
,,Global Angle antbot:antbot,,,,,,Global Angle fw450_1:fw450_1,,,,,,Global Angle qav250_1:qav250_1,,,,,,Global Angle qav400:qav400,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
181,0,0.000125855,0.00333852,-1.70696,-13.6161,1027.04,96.7449,,,,,,,,,,,,,,,,,,
182,0,-0.000408589,0.00447459,-1.70692,-13.6213,1027.03,96.7789,,,,,,,,,,,,,,,,,,
183,0,0.000359485,0.00300002,-1.70698,-13.6053,1027.02,96.7428,,,,,,,,,,,,,,,,,,
184,0,-0.000532646,0.00422941,-1.70701,-13.6201,1027.03,96.7647,,,,,,,,,,,,,,,,,,
185,0,0.000798554,0.00230903,-1.70702,-13.6117,1027.08,96.7199,,,,,,,,,,,,,,,,,,
186,0,-0.000394279,0.00424667,-1.70693,-13.6018,1027.04,96.7544,,,,,,,,,,,,,,,,,,
187,0,0.000151119,0.00338782,-1.70714,-13.5834,1027.06,96.7465,,,,,,,,,,,,,,,,,,
188,0,0.000395845,0.00353171,-1.707,-13.616,1027.03,96.7445,,,,,,,,,,,,,,,,,,
189,0,0.000985022,0.0023559,-1.70709,-13.6007,1027.04,96.7451,,,,,,,,,,,,,,,,,,
190,0,-0.00118865,0.00546271,-1.70703,-13.6349,1027.02,96.7813,,,,,,,,,,,,,,,,,,
191,0,0.000662496,0.00284766,-1.70701,-13.6051,1027.04,96.7487,,,,,,,,,,,,,,,,,,
192,0,0.00107581,0.00237449,-1.70688,-13.6142,1027.03,96.7276,,,,,,,,,,,,,,,,,,
193,0,-0.000663286,0.00461453,-1.70703,-13.63,1027.05,96.7448,,,,,,,,,,,,,,,,,,
194,0,0.000239942,0.0031679,-1.70691,-13.6222,1027.04,96.7355,,,,,,,,,,,,,,,,,,
195,0,0.000537278,0.00259082,-1.70696,-13.599,1027.02,96.7277,,,,,,,,,,,,,,,,,,
196,0,-0.000501189,0.00447505,-1.70702,-13.604,1027.03,96.7838,,,,,,,,,,,,,,,,,,
197,0,0.000141991,0.00346116,-1.70701,-13.6266,1027.02,96.7457,,,,,,,,,,,,,,,,,,
198,0,-0.00107282,0.00575538,-1.70735,-13.5735,1026.91,96.8006,,,,,,,,,,,,,,,,,,
199,0,0.000500337,0.00314373,-1.70701,-13.6014,1027.03,96.7347,,,,,,,,,,,,,,,,,,
200,0,0.00594426,-0.00582758,-1.70718,-13.5836,1027.25,96.5491,,,,,,,,,,,,,,,,,,
201,0,0.00546095,-0.00526506,-1.70709,-13.5734,1027.28,96.5281,,,,,,,,,,,,,,,,,,
202,0,-0.00403623,0.0099409,-1.70735,-13.5811,1026.91,96.8063,,,,,,,,,,,,,,,,,,
203,0,-0.00353354,0.00983681,-1.70682,-13.652,1026.93,96.8808,,,,,,,,,,,,,,,,,,
204,0,-0.00305966,0.00947844,-1.70656,-13.6631,1026.93,96.9089,,,,,,,,,,,,,,,,,,
205,0,0.00105001,0.0021725,-1.70697,-13.6233,1027.02,96.7614,,,,,,,,,,,,,,,,,,
206,0,-0.00260407,0.00876663,-1.70661,-13.6708,1026.94,96.8808,,,,,,,,,,,,,,,,,,
207,0,0.00100617,0.00266208,-1.70692,-13.615,1027.05,96.7682,,,,,,,,,,,,,,,,,,
208,0,0.000357776,0.00297034,-1.70711,-13.5948,1027.06,96.7289,,,,,,,,,,,,,,,,,,
209,0,-0.00207205,0.007272,-1.70714,-13.5841,1026.92,96.8134,,,,,,,,,,,,,,,,,,
210,0,-0.00279659,0.0091951,-1.70565,-13.7453,1026.98,96.9025,,,,,,,,,,,,,,,,,,
211,0,0.00605522,-0.00565891,-1.70257,-13.9164,1027.44,96.5832,,,,,,,,,,,,,,,,,,
212,0,0.00403593,-0.00555809,-1.69535,-14.0024,1027.56,96.6048,,,,,,,,,,,,,,,,,,
213,0,0.0019788,-8.53879e-05,-1.69203,-14.4446,1027.69,96.6236,,,,,,,,,,,,,,,,,,
214,0,0.000289432,-0.00109865,-1.6838,-14.4969,1027.87,96.6332,,,,,,,,,,,,,,,,,,
215,0,-0.00274827,0.00322444,-1.67738,-14.6683,1028.06,96.6289,,,,,,,,,,,,,,,,,,
216,0,-0.00323587,0.00378732,-1.66976,-14.9102,1028.2,96.5946,,,,,,,,,,,,,,,,,,
217,0,-0.00929124,0.0053502,-1.66487,-15.4455,1028.32,96.8357,,,,,,,,,,,,,,,,,,
218,0,-0.0047093,-2.9335e-05,-1.65491,-15.6621,1028.43,96.8561,,,,,,,,,,,,,,,,,,
219,0,-0.00471244,-0.000881822,-1.64372,-15.7442,1028.4,97.0143,,,,,,,,,,,,,,,,,,
220,0,-0.00107253,0.00682833,-1.63184,-15.8994,1028.22,97.058,,,,,,,,,,,,,,,,,,
221,0,-0.00505061,0.00404142,-1.62606,-16.6213,1028.27,97.3403,,,,,,,,,,,,,,,,,,
222,0,-0.00511273,0.00584724,-1.6168,-16.815,1028.35,97.3152,,,,,,,,,,,,,,,,,,
223,0,0.00253654,0.00252156,-1.60664,-16.9922,1028.47,96.8843,,,,,,,,,,,,,,,,,,
224,0,0.00233772,0.00268678,-1.60241,-17.0562,1028.51,96.8411,,,,,,,,,,,,,,,,,,
225,0,0.00321637,0.00110544,-1.59844,-17.1144,1028.58,96.791,,,,,,,,,,,,,,,,,,
226,0,-0.000362119,0.0062692,-1.5952,-17.1191,1028.74,96.9326,,,,,,,,,,,,,,,,,,
227,0,0.00424592,0.000640809,-1.59231,-17.2638,1028.67,96.8523,,,,,,,,,,,,,,,,,,
228,0,0.0045266,0.00089139,-1.59073,-17.2777,1028.68,96.848,,,,,,,,,,,,,,,,,,
229,0,0.00978397,-0.00949134,-1.59289,-17.4651,1028.44,96.7076,,,,,,,,,,,,,,,,,,
230,0,0.00111289,0.0045284,-1.59182,-17.1479,1028.9,96.8871,,,,,,,,,,,,,,,,,,
