Objects
100
,,Global Angle antbot:antbot,,,,,,Global Angle fw450_1:fw450_1,,,,,,Global Angle qav250_1:qav250_1,,,,,,Global Angle qav400:qav400,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
102,0,-0.0376916,-0.0130077,0.622414,-946.95,-1552.52,95.2281,,,,,,,,,,,,,,,,,,
103,0,-0.031513,-0.0117143,0.622436,-946.937,-1552.46,95.1326,,,,,,,,,,,,,,,,,,
104,0,-0.0300804,-0.0114615,0.622495,-946.931,-1552.44,95.1096,,,,,,,,,,,,,,,,,,
105,0,-0.0291273,-0.0110695,0.622367,-946.911,-1552.44,95.0604,,,,,,,,,,,,,,,,,,
106,0,-0.0338347,-0.0125612,0.622528,-946.892,-1552.48,95.0746,,,,,,,,,,,,,,,,,,
107,0,-0.0346279,-0.0126468,0.622534,-946.889,-1552.47,95.1142,,,,,,,,,,,,,,,,,,
108,0,-0.0352309,-0.0130238,0.622513,-946.921,-1552.46,95.1046,,,,,,,,,,,,,,,,,,
109,0,-0.0409368,-0.0137713,0.622351,-946.967,-1552.52,95.2221,,,,,,,,,,,,,,,,,,
110,0,-0.0484088,-0.0140722,0.621732,-947.048,-1552.47,95.44,,,,,,,,,,,,,,,,,,
111,0,-0.0545245,-0.0167687,0.621443,-946.992,-1552.42,95.2598,,,,,,,,,,,,,,,,,,
112,0,-0.0472132,-0.0141718,0.621576,-947.019,-1552.43,95.3532,,,,,,,,,,,,,,,,,,
113,0,-0.0482847,-0.0145979,0.621472,-947.005,-1552.45,95.3173,,,,,,,,,,,,,,,,,,
114,0,-0.0471576,-0.014358,0.621544,-946.99,-1552.43,95.2804,,,,,,,,,,,,,,,,,,
115,0,-0.0471394,-0.0140805,0.621678,-947.023,-1552.44,95.3605,,,,,,,,,,,,,,,,,,
116,0,-0.0521538,-0.0153724,0.621524,-947.058,-1552.5,95.3913,,,,,,,,,,,,,,,,,,
117,0,-0.0487184,-0.0147159,0.621597,-947.008,-1552.45,95.3145,,,,,,,,,,,,,,,,,,
118,0,-0.0524189,-0.0152893,0.621494,-947.039,-1552.51,95.3891,,,,,,,,,,,,,,,,,,
119,0,-0.047531,-0.0145281,0.621676,-947.018,-1552.45,95.3109,,,,,,,,,,,,,,,,,,
