Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
284,0,-0.0520631,-0.0161776,0.648337,-948.232,-1557.26,95.9523
285,0,-0.0489292,-0.0154836,0.648868,-948.158,-1557.3,95.9198
286,0,-0.0530645,-0.0163934,0.648361,-948.246,-1557.23,95.9695
287,0,-0.0530356,-0.0160671,0.648201,-948.229,-1557.26,95.9775
288,0,-0.048006,-0.0154693,0.647634,-948.303,-1557.2,95.9045
289,0,-0.0532366,-0.0162736,0.648116,-948.241,-1557.24,95.9591
290,0,-0.0509323,-0.0158961,0.648183,-948.231,-1557.23,95.9517
291,0,-0.051015,-0.0156551,0.648272,-948.214,-1557.25,95.9531
292,0,-0.0534022,-0.016579,0.648163,-948.225,-1557.25,95.9533
293,0,-0.0511609,-0.0160491,0.648306,-948.211,-1557.26,95.9785
294,0,-0.052251,-0.0159716,0.648213,-948.218,-1557.25,95.9711
295,0,-0.0536216,-0.0165714,0.648225,-948.211,-1557.25,95.9769
296,0,-0.0484672,-0.0149894,0.648263,-948.23,-1557.25,96.0469
297,0,-0.051311,-0.0162894,0.648341,-948.2,-1557.23,95.9774
298,0,-0.0516221,-0.0162697,0.648335,-948.212,-1557.25,95.9688
299,0,-0.0519704,-0.0160104,0.648294,-948.206,-1557.25,95.9812
300,0,-0.0509234,-0.0157621,0.648733,-948.066,-1557.21,96.0437
301,0,-0.0528433,-0.0162096,0.648145,-948.213,-1557.23,96.0302
302,0,-0.0532084,-0.0165915,0.648199,-948.214,-1557.23,96.0043
303,0,-0.0493683,-0.0156828,0.648908,-948.081,-1557.21,95.9937
304,0,-0.054355,-0.0167477,0.648145,-948.223,-1557.25,95.9599
305,0,-0.0526265,-0.0163133,0.648228,-948.232,-1557.24,95.9502
306,0,-0.0530986,-0.0163841,0.648229,-948.237,-1557.25,95.9604
307,0,-0.0522226,-0.0161901,0.648369,-948.221,-1557.23,95.9676
308,0,-0.052247,-0.0161246,0.648232,-948.227,-1557.26,95.967
309,0,-0.0516269,-0.0157165,0.648324,-948.232,-1557.25,95.9486
310,0,-0.0540779,-0.0163444,0.648167,-948.24,-1557.26,95.9272
311,0,-0.0527643,-0.0163121,0.648378,-948.228,-1557.25,95.9323
312,0,-0.0470734,-0.0155071,0.647994,-948.266,-1557.21,95.8094
313,0,-0.0489135,-0.0150594,0.648366,-948.219,-1557.26,95.9779
314,0,-0.0512054,-0.0160458,0.648269,-948.217,-1557.24,95.9438
315,0,-0.0519585,-0.0158568,0.648246,-948.22,-1557.23,95.9388
316,0,-0.0520253,-0.0161746,0.648219,-948.206,-1557.23,95.945
317,0,-0.052317,-0.016082,0.648307,-948.197,-1557.23,95.9577
318,0,-0.0486239,-0.0155626,0.648834,-948.153,-1557.29,95.9438
319,0,-0.045962,-0.0155044,0.6479,-948.251,-1557.19,95.8491
320,0,-0.0527061,-0.0163762,0.648242,-948.205,-1557.23,95.9782
321,0,-0.0504569,-0.0160724,0.648824,-948.154,-1557.29,95.932
322,0,-0.0532289,-0.0165668,0.648205,-948.198,-1557.21,95.9559
323,0,-0.0530376,-0.0165335,0.648197,-948.208,-1557.24,95.9942
324,0,-0.0528649,-0.0159495,0.648205,-948.208,-1557.23,95.9602
325,0,-0.0464127,-0.0153976,0.648,-948.274,-1557.18,95.8788
326,0,-0.0505639,-0.0159596,0.648898,-948.159,-1557.3,95.8971
327,0,-0.0514264,-0.0160721,0.648324,-948.216,-1557.23,95.9593
328,0,-0.05258,-0.0166388,0.648332,-948.219,-1557.23,95.9626
329,0,-0.0519604,-0.0159049,0.648251,-948.21,-1557.25,95.942
330,0,-0.0499047,-0.0156413,0.64834,-948.221,-1557.25,95.9264
331,0,-0.0460443,-0.0148716,0.648985,-948.06,-1557.18,95.8473
332,0,-0.0516179,-0.01583,0.64829,-948.208,-1557.26,95.8959
333,0,-0.0504485,-0.0157426,0.64825,-948.218,-1557.26,95.9301
334,0,-0.0515691,-0.0160414,0.648236,-948.206,-1557.25,95.9419
335,0,-0.052097,-0.0162008,0.648254,-948.21,-1557.24,95.943
336,0,-0.0515803,-0.0162134,0.648308,-948.21,-1557.24,95.9296
337,0,-0.0522363,-0.0159528,0.648156,-948.22,-1557.25,95.9477
338,0,-0.0480092,-0.0152949,0.648217,-948.161,-1557.19,95.8592
339,0,-0.0515489,-0.0160525,0.648348,-948.197,-1557.23,95.9496
340,0,-0.0524118,-0.0164815,0.648319,-948.216,-1557.25,95.9659
341,0,-0.0535058,-0.0164354,0.648269,-948.212,-1557.25,95.9883
