Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
219,0,0.00125891,0.00798057,-1.31891,888.125,1250.56,89.2414
220,0,0.00280238,0.00711644,-1.31892,888.104,1250.56,89.2439
221,0,0.00611099,0.00489404,-1.31889,888.096,1250.63,89.2778
222,0,0.000986215,0.00822328,-1.31889,888.086,1250.53,89.2556
223,0,0.00647958,0.00429324,-1.31863,888.078,1250.62,89.2631
224,0,0.00543957,0.00504191,-1.31877,888.09,1250.58,89.2512
225,0,0.00633832,0.00205941,-1.31908,888.034,1250.62,89.0819
226,0,-0.00050824,0.00951607,-1.31908,888.116,1250.55,89.1851
227,0,0.00810066,0.00282849,-1.31908,888.105,1250.61,89.2217
228,0,0.000191709,0.00835713,-1.32038,888.191,1250.43,89.1718
229,0,0.00817561,0.00300785,-1.32351,888.39,1250.29,89.2187
230,0,0.0113601,-0.00151332,-1.32855,888.641,1250.16,89.028
231,0,0.0139571,-0.00384002,-1.33448,888.999,1250.15,89.0897
232,0,0.0416055,-0.036895,-1.3423,889.957,1250.31,87.9862
233,0,0.0418406,-0.0392102,-1.3491,890.261,1250.41,87.8181
234,0,0.0332195,-0.03328,-1.35708,890.701,1250.44,87.7384
235,0,0.0338334,-0.033627,-1.365,891.035,1250.46,87.7483
236,0,0.039648,-0.0409628,-1.3731,891.333,1250.5,87.5646
237,0,0.0377971,-0.038911,-1.38252,891.762,1250.48,87.6385
238,0,0.0384713,-0.0391626,-1.39125,892.113,1250.47,87.8042
239,0,0.0330171,-0.0310188,-1.39984,892.442,1250.08,88.1231
240,0,0.031599,-0.0291091,-1.4104,892.99,1250.08,88.2861
241,0,0.0324747,-0.0303078,-1.42176,893.579,1250.03,88.1835
242,0,0.0336469,-0.0314261,-1.43275,894.145,1250.08,88.1386
243,0,0.0354673,-0.0363651,-1.44349,894.584,1250.04,87.9407
244,0,0.0322012,-0.0361059,-1.45461,895.14,1250.08,87.8794
245,0,0.0279737,-0.031784,-1.46583,895.605,1250.09,87.9775
246,0,0.0270568,-0.0324505,-1.47744,896.081,1250,87.8304
247,0,0.034317,-0.0430227,-1.48718,896.472,1250.03,87.586
248,0,0.0279872,-0.0341738,-1.49771,896.71,1249.84,87.7068
249,0,0.0262896,-0.0291691,-1.50749,896.76,1249.46,88.0125
250,0,0.0244536,-0.0270904,-1.51618,896.913,1249.42,88.1052
251,0,0.0253022,-0.0281464,-1.52299,897.046,1249.36,88.1526
252,0,0.0271661,-0.0313803,-1.52778,897.158,1249.31,88.0159
253,0,0.0263188,-0.0311764,-1.53336,897.252,1249.41,88.0331
254,0,0.0307344,-0.0375703,-1.53832,897.477,1249.67,87.9764
255,0,0.0310548,-0.0370403,-1.54089,897.521,1249.45,88.1258
256,0,0.0197151,-0.0213027,-1.54047,897.213,1249.18,88.3365
257,0,0.026441,-0.0290394,-1.5408,897.227,1249.14,88.2736
258,0,0.0259482,-0.0275208,-1.54063,897.265,1249.17,88.2932
259,0,0.0242879,-0.0258738,-1.54106,897.336,1249.16,88.3317
260,0,0.0233459,-0.0242922,-1.54085,897.288,1249.19,88.3893
